loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,loan_status
8000,8000, 36 months,7.62,249.3,A,A3,1
8425,8425, 36 months,17.57,302.77,D,D4,1
5000,5000, 36 months,15.31,174.09,C,C5,1
20000,20000, 36 months,12.79,671.86,C,C1,1
9000,9000, 36 months,5.32,271.04,A,A1,1
10000,10000, 36 months,7.07,309.1,A,A2,1
3650,3650, 36 months,17.97,131.91,D,D4,1
11000,11000, 36 months,12.69,369,C,C2,1
13250,13250, 36 months,11.47,436.75,B,B5,1
10800,10800, 36 months,6.62,331.6,A,A2,1
7000,7000, 36 months,9.99,225.84,B,B3,1
8000,8000, 36 months,12.74,268.56,C,C1,1
12000,12000, 36 months,8.67,379.76,B,B1,1
15600,15600, 60 months,16.02,379.53,C,C5,1
10000,10000, 36 months,7.24,309.87,A,A3,1
19325,19325, 60 months,26.57,585.14,F,F5,1
7000,7000, 36 months,10.99,229.14,B,B3,1
13000,13000, 36 months,9.17,414.43,B,B2,1
5750,5750, 36 months,11.99,190.96,C,C1,1
4400,4400, 36 months,7.07,136.01,A,A2,1
29450,29450, 60 months,20.49,788.3,E,E4,1
16000,16000, 36 months,8.19,502.79,A,A5,1
20000,20000, 36 months,13.49,678.61,C,C2,1
30000,30000, 36 months,10.99,982.02,B,B4,1
5500,5500, 36 months,14.99,190.64,C,C4,1
12000,12000, 60 months,19.99,317.86,D,D4,1
12000,12000, 36 months,6.49,367.74,A,A2,1
24000,24000, 36 months,6.49,735.47,A,A2,1
17600,17600, 60 months,16.78,435.33,C,C5,1
15000,15000, 60 months,14.33,351.6,C,C2,1
6025,6025, 36 months,12.88,202.66,C,C2,1
17000,17000, 60 months,10.99,369.54,B,B3,1
16500,16500, 36 months,8.24,518.88,B,B1,1
12000,12000, 36 months,7.97,375.88,A,A5,1
8700,8700, 36 months,11.99,288.93,B,B3,1
9000,9000, 36 months,12.29,300.18,C,C1,1
12000,12000, 60 months,17.1,298.88,C,C5,1
12000,12000, 36 months,15.31,417.81,C,C2,1
20000,20000, 60 months,10.99,434.75,B,B4,1
20500,20500, 60 months,13.56,472.34,C,C1,1
28000,28000, 36 months,13.67,952.5,B,B5,1
18725,18725, 60 months,10.99,407.04,B,B2,1
35000,35000, 36 months,15.61,1223.77,C,C4,1
10000,10000, 36 months,12.99,336.9,B,B4,1
16200,16200, 60 months,14.98,385.23,C,C3,1
5525,5525, 36 months,10.99,180.86,B,B4,1
16000,16000, 36 months,17.27,572.6,C,C5,1
15775,15775, 36 months,10.74,514.52,B,B2,1
12575,12575, 60 months,25.57,373.31,F,F5,1
10000,10000, 36 months,12.29,333.53,C,C1,1
8000,8000, 36 months,11.55,264,B,B3,1
28000,28000, 36 months,8.18,879.75,B,B1,1
3000,3000, 36 months,12.62,100.54,C,C1,1
5000,5000, 36 months,14.99,173.31,C,C4,1
25750,25750, 36 months,13.99,879.95,C,C4,1
15000,15000, 60 months,12.69,338.93,C,C2,1
27525,27525, 36 months,12.74,923.99,C,C1,1
20000,20000, 36 months,7.39,621.12,A,A4,1
15000,15000, 36 months,8.49,473.45,B,B1,1
10000,10000, 60 months,17.99,253.88,E,E1,1
9000,9000, 36 months,16.78,319.89,C,C5,1
1000,1000, 36 months,10.16,32.35,B,B1,1
24000,24000, 60 months,7.89,485.38,A,A5,1
8800,8800, 36 months,9.58,282.22,B,B1,1
25000,25000, 36 months,6.24,763.28,A,A2,1
4000,4000, 36 months,12.69,134.18,C,C2,1
5000,5000, 36 months,14.65,172.48,C,C5,1
22000,22000, 36 months,11.14,721.72,B,B2,1
6000,6000, 36 months,12.99,202.14,C,C1,1
20000,20000, 36 months,13.49,678.61,C,C2,1
30000,30000, 60 months,15.59,723.03,C,C5,1
22650,22650, 36 months,13.59,769.63,C,C2,1
14400,14400, 36 months,8.39,453.84,A,A5,1
3000,3000, 36 months,12.35,100.15,B,B4,1
14000,14000, 36 months,8.46,441.69,A,A5,1
10000,10000, 36 months,7.49,311.02,A,A4,1
7500,7500, 36 months,6.99,231.55,A,A2,1
6600,6600, 36 months,13.59,224.27,C,C2,1
8675,8675, 36 months,7.69,270.61,A,A4,1
12000,12000, 36 months,15.05,416.28,C,C4,1
7850,7850, 36 months,12.74,263.52,C,C1,1
8000,8000, 36 months,10.16,258.74,B,B1,1
14400,14400, 36 months,12.99,485.13,C,C2,1
32500,32500, 36 months,19.99,1207.66,E,E4,1
9600,9600, 36 months,10.49,311.98,B,B3,1
14600,14600, 36 months,20.2,544.08,D,D5,1
5000,5000, 36 months,10.64,162.85,B,B4,1
15000,15000, 60 months,12.49,337.4,B,B5,1
10000,10000, 36 months,15.05,346.9,C,C4,1
20000,20000, 60 months,14.52,470.78,C,C3,1
9600,9600, 36 months,16.29,338.89,D,D1,1
9600,9600, 36 months,7.62,299.15,A,A3,1
10000,10000, 36 months,22.45,384.24,F,F1,1
31300,31300, 60 months,25.99,936.96,G,G4,1
40000,40000, 60 months,11.55,880.71,B,B4,1
18000,18000, 60 months,11.39,394.88,B,B3,1
24000,24000, 60 months,6.92,474.33,A,A4,1
12000,12000, 36 months,13.67,408.22,C,C3,1
8000,8000, 36 months,6.49,245.16,A,A2,1
25000,25000, 36 months,7.9,782.26,A,A4,1
3500,3500, 36 months,18.54,127.49,E,E1,1
20000,20000, 36 months,13.99,683.46,C,C4,1
12000,12000, 36 months,7.26,371.96,A,A4,1
12000,12000, 60 months,19.99,317.86,D,D4,1
3000,3000, 36 months,13.99,102.52,C,C4,1
10775,10775, 36 months,17.57,387.23,D,D4,1
6000,6000, 36 months,12.69,201.27,C,C2,1
6000,6000, 36 months,6.99,185.24,A,A2,1
35000,35000, 36 months,12.13,1164.68,B,B5,1
3500,3500, 36 months,14.65,120.73,C,C2,1
10000,10000, 60 months,10.49,214.89,B,B3,1
32000,32000, 36 months,11.39,1053.56,B,B3,1
10000,10000, 36 months,13.99,341.73,C,C4,1
10000,10000, 60 months,25.49,296.4,E,E4,1
12900,12900, 60 months,13.49,296.77,C,C2,1
10000,10000, 36 months,5.32,301.15,A,A1,1
10000,10000, 36 months,8.39,315.17,B,B1,1
9200,9200, 36 months,23.99,360.9,E,E2,1
22475,22475, 36 months,14.16,769.89,C,C2,1
15000,15000, 36 months,23.43,584.02,F,F1,1
36000,36000, 36 months,5.32,1084.14,A,A1,1
16800,16800, 36 months,9.71,539.81,B,B1,1
10725,10725, 36 months,15.61,375,C,C4,1
35000,35000, 60 months,21.85,963.68,D,D5,1
16000,16000, 60 months,15.05,381.06,C,C4,1
7000,7000, 36 months,10.41,227.23,B,B3,1
15000,15000, 36 months,14.49,516.25,C,C4,1
12800,12800, 60 months,20.39,341.91,D,D4,1
2800,2800, 36 months,14.65,96.59,C,C5,1
24000,24000, 36 months,5.32,722.76,A,A1,1
11500,11500, 36 months,11.47,379.07,B,B5,1
10050,10050, 36 months,14.33,345.1,C,C1,1
10000,10000, 36 months,7.62,311.62,A,A3,1
27000,27000, 36 months,10.91,882.8,B,B4,1
18000,18000, 36 months,10.99,589.22,B,B4,1
6000,6000, 36 months,11.98,199.23,B,B5,1
10000,10000, 36 months,14.49,344.17,C,C4,1
15000,15000, 36 months,6.08,456.88,A,A2,1
6000,6000, 36 months,10.64,195.42,B,B2,1
7200,7200, 36 months,5.32,216.83,A,A1,1
10000,10000, 36 months,12.69,335.45,C,C2,1
28000,28000, 36 months,10.49,909.94,B,B3,1
6650,6650, 36 months,17.57,238.99,D,D4,1
35000,35000, 36 months,7.89,1095,A,A5,1
10425,10425, 36 months,20.99,392.71,E,E5,1
6000,6000, 36 months,8.99,190.78,B,B1,1
20000,20000, 36 months,6.62,614.08,A,A2,1
9000,9000, 36 months,7.24,278.89,A,A3,1
21000,21000, 36 months,8.18,659.81,B,B1,1
15000,15000, 36 months,12.12,499.08,B,B3,1
6600,6600, 36 months,18.06,238.81,D,D2,1
8000,8000, 36 months,11.47,263.7,B,B5,1
4000,4000, 36 months,18.49,145.6,D,D2,1
2000,2000, 36 months,16.99,71.3,D,D3,1
35000,35000, 36 months,8.9,1111.37,A,A5,1
33000,33000, 36 months,7.89,1032.43,A,A5,1
15000,15000, 36 months,18.25,544.17,D,D3,1
22500,22500, 60 months,30.79,738.91,G,G1,1
12800,12800, 60 months,21.18,347.59,E,E3,1
10000,10000, 36 months,7.97,313.23,A,A5,1
25000,25000, 60 months,17.57,629.01,D,D4,1
22175,22175, 60 months,13.99,515.86,C,C3,1
6500,6500, 36 months,11.55,214.5,B,B3,1
12000,12000, 60 months,10.42,257.46,B,B3,1
16000,16000, 36 months,9.99,516.2,B,B3,1
9800,9800, 36 months,14.08,335.33,C,C3,1
21000,21000, 36 months,7.89,657,A,A5,1
18000,18000, 36 months,10.15,582.08,B,B2,1
3250,3250, 36 months,19.99,120.77,E,E1,1
1500,1500, 36 months,14.65,51.75,C,C5,1
35000,35000, 60 months,18.45,897.37,D,D2,1
18000,18000, 36 months,10.99,589.22,B,B2,1
8000,8000, 36 months,7.26,247.97,A,A4,1
15000,15000, 36 months,10.99,491.01,B,B4,1
23000,23000, 36 months,7.97,720.42,A,A5,1
4000,4000, 36 months,9.93,128.94,B,B2,1
14600,14600, 36 months,18.92,534.59,D,D4,1
15300,15300, 36 months,17.86,552.06,D,D5,1
16200,16200, 36 months,11.53,534.45,B,B5,1
25000,25000, 60 months,11.53,550.2,B,B5,1
9600,9600, 36 months,12.99,323.42,C,C2,1
10000,10000, 36 months,7.49,311.02,A,A4,1
9600,9600, 36 months,19.99,356.73,D,D4,1
27300,27300, 36 months,15.22,949.31,C,C3,1
12000,12000, 36 months,12.79,403.12,C,C1,1
24000,24000, 60 months,14.48,564.43,C,C5,1
15000,15000, 36 months,12.79,503.9,C,C1,1
15000,15000, 36 months,7.21,464.6,A,A3,1
35000,35000, 36 months,14.99,1213.12,C,C5,1
7100,7100, 36 months,13.66,241.5,C,C3,1
16000,16000, 36 months,10.49,519.97,B,B3,1
5000,5000, 36 months,6.92,154.21,A,A4,1
20000,20000, 36 months,7.62,623.23,A,A3,1
24000,24000, 36 months,19.03,880.11,D,D3,1
7500,7500, 36 months,16.77,266.54,D,D2,1
12000,12000, 36 months,11.71,396.92,B,B3,1
11200,11200, 60 months,18.06,284.78,D,D2,1
9600,9600, 36 months,12.79,322.5,C,C1,1
12000,12000, 36 months,11.36,394.94,B,B5,1
5000,5000, 36 months,9.76,160.78,B,B3,1
18000,18000, 60 months,19.72,474.09,D,D5,1
34500,34500, 60 months,11.99,767.26,C,C1,1
12000,12000, 36 months,7.49,373.22,A,A4,1
12575,12575, 36 months,14.49,432.79,C,C4,1
6400,6400, 36 months,10.42,207.78,B,B3,1
8500,8500, 36 months,7.89,265.93,A,A5,1
12000,12000, 60 months,16.99,298.17,D,D1,1
5000,5000, 36 months,6.49,153.23,A,A2,1
8000,8000, 36 months,11.99,265.68,C,C1,1
7500,7500, 36 months,20.49,280.61,E,E1,1
15000,15000, 36 months,8.67,474.7,B,B1,1
2750,2750, 36 months,16.55,97.44,D,D2,1
25000,25000, 60 months,13.49,575.12,C,C2,1
16750,16750, 36 months,13.66,569.72,C,C3,1
7200,7200, 36 months,11.49,237.4,B,B5,1
28000,28000, 36 months,14.3,961.06,C,C1,1
7000,7000, 36 months,12.69,234.82,C,C2,1
2500,2500, 36 months,11.53,82.48,B,B5,1
5000,5000, 36 months,12.29,166.77,C,C1,1
5000,5000, 36 months,10.99,163.67,B,B3,1
14825,14825, 60 months,18.99,384.49,E,E1,1
35000,35000, 60 months,13.99,814.21,C,C4,1
13325,13325, 36 months,13.99,455.36,C,C4,1
9600,9600, 36 months,11.99,318.82,C,C1,1
19125,19125, 36 months,16.24,674.65,C,C5,1
18000,18000, 36 months,10.16,582.17,B,B1,1
15000,15000, 60 months,13.99,348.95,C,C4,1
19200,19200, 36 months,12.69,644.07,C,C2,1
12000,12000, 60 months,20.49,321.21,E,E4,1
5375,5375, 36 months,13.98,183.66,C,C1,1
20000,20000, 36 months,11.99,664.2,C,C1,1
2500,2500, 36 months,13.35,84.66,C,C2,1
13000,13000, 36 months,18.99,476.47,D,D3,1
10000,10000, 36 months,11.99,332.1,C,C1,1
4800,4800, 36 months,16.99,171.11,D,D3,1
13100,13100, 36 months,11.39,431.31,B,B3,1
10000,10000, 36 months,10.99,327.34,B,B2,1
15000,15000, 36 months,7.96,469.77,A,A5,1
24000,24000, 36 months,7.89,750.86,A,A5,1
35000,35000, 36 months,17.99,1265.16,D,D2,1
6000,6000, 36 months,5.32,180.69,A,A1,1
10000,10000, 60 months,15.61,241.12,C,C5,1
15000,15000, 36 months,19.53,553.87,D,D5,1
23125,23125, 60 months,17.57,581.83,D,D4,1
12800,12800, 36 months,7.35,397.28,A,A4,1
14000,14000, 60 months,17.57,352.25,D,D4,1
8000,8000, 36 months,9.44,256.04,B,B1,1
24175,24175, 60 months,16.49,594.21,D,D3,1
12000,12000, 36 months,11.98,398.46,B,B5,1
7200,7200, 36 months,7.49,223.94,A,A4,1
7800,7800, 36 months,14.99,270.36,C,C4,1
35000,35000, 60 months,16.89,867.78,D,D4,1
31300,31300, 60 months,17.56,787.35,D,D1,1
14400,14400, 36 months,14.65,496.72,C,C5,1
5000,5000, 36 months,14.08,171.09,C,C3,1
35000,35000, 36 months,8.18,1099.69,B,B1,1
10000,10000, 60 months,19.03,259.58,D,D3,1
9600,9600, 36 months,5.93,291.75,A,A1,1
20000,20000, 60 months,22.74,560.83,E,E1,1
5000,5000, 36 months,6.24,152.66,A,A2,1
17400,17400, 60 months,8.99,361.12,B,B1,1
21325,21325, 60 months,16.55,524.84,D,D2,1
40000,40000, 60 months,17.47,1004.24,D,D1,1
5000,5000, 36 months,10.99,163.67,B,B4,1
10000,10000, 36 months,7.89,312.86,A,A5,1
10000,10000, 36 months,9.99,322.63,B,B3,1
4000,4000, 36 months,19.03,146.69,D,D3,1
2500,2500, 36 months,6.99,77.19,A,A2,1
23050,23050, 60 months,16.99,572.73,D,D1,1
18000,18000, 60 months,15.31,431.16,C,C2,1
12000,12000, 36 months,15.31,417.81,C,C2,1
10000,10000, 36 months,12.12,332.72,B,B3,1
7000,7000, 36 months,5.32,210.81,A,A1,1
10000,10000, 36 months,7.89,312.86,A,A5,1
30500,30500, 36 months,23.99,1196.45,F,F3,1
35000,35000, 36 months,6.92,1079.42,A,A4,1
11250,11250, 36 months,20.2,419.24,E,E3,1
14500,14500, 36 months,14.09,496.21,B,B5,1
6000,6000, 36 months,12.49,200.7,B,B4,1
5000,5000, 36 months,9.17,159.4,B,B2,1
20700,20700, 36 months,14.33,710.8,C,C1,1
6000,6000, 36 months,9.49,192.17,B,B2,1
4900,4900, 36 months,18.49,178.36,D,D2,1
35000,35000, 36 months,14.64,1207.13,C,C3,1
17000,17000, 36 months,12.69,570.27,C,C2,1
13000,13000, 36 months,11.39,428.01,B,B3,1
35000,35000, 36 months,11.53,1154.66,B,B5,1
4000,4000, 36 months,14.33,137.36,C,C1,1
30000,30000, 60 months,23.88,860.96,E,E2,1
6000,6000, 36 months,7.89,187.72,A,A5,1
10000,10000, 36 months,15.99,351.53,C,C5,1
7000,7000, 36 months,12.74,234.99,C,C1,1
1200,1200, 36 months,9.99,38.72,B,B3,1
10000,10000, 36 months,5.32,301.15,A,A1,1
9000,9000, 36 months,10.49,292.48,B,B3,1
18000,18000, 36 months,15.23,626.01,C,C5,1
13000,13000, 36 months,7.62,405.1,A,A3,1
16800,16800, 60 months,13.67,388.04,C,C4,1
10000,10000, 36 months,9.99,322.63,B,B3,1
28000,28000, 36 months,14.99,970.5,C,C5,1
12000,12000, 36 months,9.17,382.55,B,B2,1
10000,10000, 36 months,12.29,333.53,C,C1,1
7700,7700, 36 months,14.31,264.33,C,C4,1
35000,35000, 36 months,9.49,1120.99,B,B2,1
18000,18000, 36 months,15.31,626.72,C,C4,1
24000,24000, 36 months,6.49,735.47,A,A2,1
21000,21000, 36 months,11.99,697.41,B,B5,1
6400,6400, 36 months,9.67,205.52,B,B1,1
10000,10000, 36 months,11.99,332.1,B,B3,1
13600,13600, 36 months,12.99,458.18,C,C2,1
8000,8000, 36 months,10.99,261.88,B,B4,1
35000,35000, 36 months,23.99,1372.97,E,E2,1
19000,19000, 36 months,5.32,572.19,A,A1,1
18000,18000, 60 months,18.25,459.54,D,D3,1
20000,20000, 60 months,12.13,446.21,B,B5,1
7500,7500, 36 months,5.32,225.87,A,A1,1
35000,35000, 60 months,19.22,912.17,D,D4,1
10000,10000, 36 months,14.98,346.56,C,C3,1
7000,7000, 36 months,12.99,235.83,C,C2,1
28000,28000, 60 months,14.99,665.98,C,C4,1
3600,3600, 36 months,18.54,131.13,E,E1,1
19400,19400, 60 months,11.53,426.95,B,B5,1
5000,5000, 36 months,7.07,154.55,A,A2,1
10000,10000, 36 months,11.49,329.72,B,B5,1
27375,27375, 60 months,22.99,771.56,F,F2,1
10575,10575, 36 months,17.57,380.04,D,D4,1
31000,31000, 60 months,10.42,665.09,B,B3,1
11000,11000, 36 months,9.75,353.65,B,B3,1
28000,28000, 36 months,7.89,876,A,A5,1
14000,14000, 60 months,9.17,291.78,B,B1,1
2000,2000, 36 months,6.99,61.75,A,A2,1
10500,10500, 36 months,12.99,353.74,C,C1,1
4000,4000, 36 months,14.49,137.67,C,C4,1
3200,3200, 36 months,16.02,112.54,C,C5,1
9950,9950, 36 months,18.49,362.17,D,D2,1
24000,24000, 60 months,16.02,583.89,C,C5,1
6500,6500, 36 months,13.67,221.12,B,B5,1
18000,18000, 60 months,13.35,412.79,C,C2,1
3000,3000, 36 months,7.49,93.31,A,A4,1
6000,6000, 36 months,12.59,200.99,C,C2,1
10000,10000, 36 months,14.33,343.39,C,C1,1
9600,9600, 36 months,14.16,328.86,C,C2,1
3350,3350, 36 months,10.49,108.87,B,B3,1
8000,8000, 36 months,18.06,289.47,D,D2,1
11200,11200, 36 months,9.49,358.72,B,B2,1
8500,8500, 36 months,13.44,288.21,C,C3,1
3000,3000, 36 months,10.42,97.4,B,B3,1
9600,9600, 36 months,6.24,293.1,A,A2,1
2500,2500, 36 months,13.49,84.83,C,C2,1
16150,16150, 36 months,17.99,583.79,D,D2,1
15500,15500, 36 months,15.61,541.96,D,D1,1
3000,3000, 36 months,8.9,95.26,A,A5,1
7000,7000, 36 months,10.99,229.14,B,B4,1
10000,10000, 36 months,8.39,315.17,A,A5,1
16200,16200, 60 months,11.99,360.28,C,C1,1
12000,12000, 60 months,14.65,283.28,C,C3,1
10000,10000, 36 months,5.93,303.91,A,A1,1
16000,16000, 36 months,12.49,535.19,B,B5,1
8000,8000, 36 months,5.32,240.92,A,A1,1
16075,16075, 60 months,21.48,439.24,E,E5,1
7000,7000, 36 months,11.53,230.94,B,B5,1
4375,4375, 36 months,16.59,155.09,D,D1,1
18000,18000, 36 months,7.62,560.91,A,A3,1
35000,35000, 60 months,16.14,853.74,C,C4,1
3600,3600, 36 months,14.65,124.18,C,C5,1
5000,5000, 36 months,11.53,164.96,B,B5,1
6000,6000, 36 months,9.75,192.9,B,B3,1
15000,15000, 36 months,15.99,527.29,C,C5,1
16000,16000, 36 months,14.64,551.83,C,C3,1
15000,15000, 36 months,7.9,469.36,A,A4,1
8000,8000, 36 months,14.49,275.33,C,C4,1
8700,8700, 36 months,7.89,272.19,A,A5,1
18000,18000, 60 months,15.88,436.58,C,C4,1
12000,12000, 36 months,13.68,408.27,C,C1,1
5500,5500, 36 months,15.05,190.8,C,C4,1
7000,7000, 36 months,7.89,219,A,A5,1
24000,24000, 36 months,14.65,827.87,C,C5,1
3600,3600, 36 months,12.99,121.29,C,C2,1
14000,14000, 36 months,14.09,479.1,B,B5,1
7000,7000, 36 months,14.65,241.46,C,C5,1
33975,33975, 60 months,15.05,809.16,C,C4,1
8400,8400, 36 months,9.17,267.79,B,B2,1
8300,8300, 36 months,16.99,295.88,D,D1,1
3000,3000, 36 months,9.44,96.02,B,B1,1
20000,20000, 36 months,12.49,668.98,B,B5,1
4000,4000, 36 months,14.99,138.65,C,C5,1
7000,7000, 36 months,12.99,235.83,B,B4,1
7200,7200, 36 months,10.42,233.75,B,B3,1
9000,9000, 36 months,12.29,300.18,C,C1,1
35000,35000, 36 months,30.94,1503.89,G,G4,1
16000,16000, 36 months,8.19,502.79,A,A5,1
18500,18500, 36 months,6.89,570.3,A,A3,1
17000,17000, 60 months,15.8,411.61,C,C3,1
20000,20000, 60 months,12.39,448.85,C,C1,1
16000,16000, 36 months,10.49,519.97,B,B2,1
10000,10000, 36 months,9.99,322.63,B,B3,1
15000,15000, 60 months,16.24,366.69,C,C5,1
10000,10000, 36 months,13.99,341.73,C,C3,1
20000,20000, 36 months,12.99,673.79,B,B5,1
18200,18200, 36 months,16.02,640.04,C,C5,1
25000,25000, 36 months,5.32,752.87,A,A1,1
12000,12000, 36 months,9.17,382.55,B,B2,1
18000,18000, 36 months,11.49,593.49,B,B5,1
28000,28000, 60 months,14.65,660.99,C,C5,1
20000,20000, 36 months,13.06,674.46,C,C2,1
15725,15725, 36 months,11.44,518.1,B,B4,1
3350,3350, 36 months,15.31,116.64,C,C5,1
6000,6000, 36 months,7.35,186.23,A,A4,1
10000,10000, 36 months,6.24,305.31,A,A2,1
13000,13000, 36 months,7.69,405.52,A,A4,1
5075,5075, 36 months,15.41,176.95,D,D1,1
15000,15000, 60 months,13.99,348.95,C,C3,1
7200,7200, 36 months,14.64,248.33,C,C3,1
10000,10000, 36 months,6.03,304.36,A,A1,1
25000,25000, 36 months,7.46,777.2,A,A4,1
15000,15000, 60 months,21.49,409.95,E,E3,1
30000,30000, 36 months,7.07,927.28,A,A2,1
35000,35000, 60 months,12.29,783.7,C,C1,1
4200,4200, 36 months,10.99,137.49,B,B2,1
20100,20100, 36 months,16.55,712.13,D,D2,1
3000,3000, 36 months,10.15,97.02,B,B2,1
15000,15000, 60 months,15.99,364.7,C,C5,1
15000,15000, 36 months,7.97,469.84,A,A5,1
5000,5000, 36 months,12.98,168.43,C,C3,1
24000,24000, 36 months,6.92,740.18,A,A4,1
15000,15000, 60 months,13.67,346.47,C,C4,1
15000,15000, 36 months,8.39,472.75,A,A5,1
12000,12000, 36 months,10.99,392.81,B,B4,1
15000,15000, 36 months,17.27,536.81,D,D1,1
10000,10000, 36 months,7.99,313.32,A,A5,1
22000,22000, 60 months,8.39,450.2,B,B1,1
22400,22400, 60 months,14.65,528.79,C,C2,1
10200,10200, 60 months,15.61,245.94,D,D1,1
13500,13500, 36 months,11.99,448.33,B,B5,1
24000,24000, 60 months,13.67,554.35,C,C4,1
10000,10000, 36 months,9.16,318.75,B,B2,1
5000,5000, 36 months,9.91,161.13,B,B1,1
28500,28500, 60 months,19.19,742.29,E,E3,1
5000,5000, 36 months,15.59,174.78,D,D1,1
10000,10000, 36 months,9.75,321.5,B,B3,1
12000,12000, 36 months,9.67,385.35,B,B1,1
2400,2400, 36 months,18.25,87.07,D,D3,1
13600,13600, 36 months,21.99,519.32,F,F1,1
12900,12900, 60 months,28.88,408.53,G,G2,1
27300,27300, 60 months,18.55,701.44,E,E2,1
4700,4700, 36 months,12.69,157.67,C,C2,1
18000,18000, 36 months,11.99,597.78,B,B3,1
8000,8000, 36 months,13.59,271.84,C,C2,1
4000,4000, 36 months,13.35,135.46,C,C2,1
20000,20000, 60 months,9.44,419.46,B,B1,1
5000,5000, 36 months,11.53,164.96,B,B5,1
18350,18350, 60 months,15.31,439.54,C,C2,1
20000,20000, 36 months,17.99,722.95,D,D2,1
12000,12000, 36 months,7.89,375.43,A,A5,1
20800,20800, 60 months,13.35,477,C,C2,1
21000,21000, 36 months,7.62,654.39,A,A3,1
5000,5000, 36 months,7.39,155.28,A,A4,1
4000,4000, 36 months,10.49,130,B,B3,1
30000,30000, 36 months,10.99,982.02,B,B2,1
10000,10000, 36 months,10.91,326.97,B,B4,1
24000,24000, 36 months,8.38,756.29,B,B1,1
35000,35000, 36 months,8.18,1099.69,B,B1,1
15000,15000, 60 months,15.8,363.18,C,C3,1
12000,12000, 36 months,7.97,375.88,A,A5,1
10000,10000, 36 months,11.44,329.48,B,B4,1
8000,8000, 36 months,7.69,249.55,A,A4,1
16875,16875, 36 months,13.66,573.97,C,C3,1
33325,33325, 36 months,10.75,1087.08,B,B4,1
18000,18000, 36 months,6.49,551.61,A,A2,1
28000,28000, 36 months,6.49,858.05,A,A2,1
21200,21200, 60 months,12.35,475.35,B,B4,1
24000,24000, 60 months,15.59,578.42,C,C5,1
10000,10000, 36 months,9.17,318.79,B,B1,1
28000,28000, 60 months,11.53,616.22,B,B5,1
12000,12000, 36 months,9.17,382.55,B,B2,1
5500,5500, 36 months,8.18,172.81,B,B1,1
15000,15000, 36 months,11.99,498.15,C,C1,1
12000,12000, 60 months,28.72,378.86,F,F1,1
5500,5500, 36 months,19.24,202.28,E,E2,1
8450,8450, 36 months,17.86,304.9,D,D5,1
10000,10000, 36 months,12.99,336.9,C,C1,1
3000,3000, 36 months,11.39,98.78,B,B3,1
9000,9000, 36 months,14.3,308.92,C,C1,1
7500,7500, 36 months,7.59,233.61,A,A3,1
3500,3500, 36 months,9.99,112.92,B,B3,1
2800,2800, 36 months,9.75,90.02,B,B3,1
8500,8500, 36 months,10.99,278.24,B,B3,1
4800,4800, 36 months,20.31,179.15,D,D5,1
24000,24000, 36 months,13.18,810.74,C,C3,1
12000,12000, 36 months,9.93,386.82,B,B2,1
3750,3750, 36 months,12.99,126.34,C,C2,1
3600,3600, 36 months,14.49,123.9,C,C4,1
19200,19200, 36 months,12.29,640.38,C,C1,1
20000,20000, 36 months,9.17,637.58,B,B2,1
3600,3600, 36 months,20.31,134.36,D,D5,1
4425,4425, 36 months,12.59,148.23,C,C2,1
24000,24000, 36 months,7.89,750.86,A,A5,1
32500,32500, 36 months,7.69,1013.8,A,A4,1
28000,28000, 36 months,7.26,867.9,A,A4,1
29850,29850, 36 months,12.49,998.45,B,B5,1
10000,10000, 36 months,15.61,349.65,D,D1,1
12000,12000, 36 months,13.98,410.02,C,C3,1
21600,21600, 36 months,18.84,790.03,E,E2,1
14400,14400, 36 months,11.49,474.79,B,B5,1
10000,10000, 36 months,9.71,321.32,B,B1,1
16200,16200, 36 months,8.18,509,B,B1,1
24000,24000, 36 months,7.69,748.65,A,A4,1
16550,16550, 36 months,7.89,517.78,A,A5,1
20000,20000, 36 months,8.38,630.24,B,B1,1
20000,20000, 36 months,11.48,659.33,B,B5,1
40000,40000, 36 months,7.59,1245.91,A,A3,1
32000,32000, 36 months,10.15,1034.81,B,B2,1
6000,6000, 36 months,10.15,194.03,B,B2,1
4900,4900, 36 months,9.17,156.21,B,B2,1
10000,10000, 36 months,5.32,301.15,A,A1,1
19200,19200, 36 months,12.29,640.38,C,C1,1
33000,33000, 36 months,7.49,1026.36,A,A4,1
20000,20000, 36 months,11.49,659.43,B,B5,1
21500,21500, 36 months,11.67,710.73,B,B4,1
7600,7600, 36 months,12.29,253.49,C,C1,1
35000,35000, 36 months,7.89,1095,A,A5,1
25000,25000, 36 months,19.99,928.97,E,E1,1
11500,11500, 36 months,13.68,391.26,C,C1,1
10000,10000, 36 months,13.59,339.79,C,C2,1
25200,25200, 60 months,18.55,647.48,E,E2,1
5000,5000, 36 months,7.62,155.81,A,A3,1
15000,15000, 36 months,14.08,513.25,C,C3,1
3000,3000, 36 months,11.53,98.98,B,B5,1
6000,6000, 36 months,7.49,186.61,A,A4,1
14400,14400, 36 months,17.99,520.53,D,D2,1
11200,11200, 36 months,12.12,372.65,B,B3,1
7500,7500, 36 months,10.64,244.27,B,B2,1
10000,10000, 36 months,9.17,318.79,B,B2,1
7000,7000, 36 months,10.42,227.26,B,B3,1
11500,11500, 36 months,16.02,404.42,C,C5,1
10000,10000, 36 months,10.75,326.21,B,B4,1
